時間戳記,原始話術／內部對話,原始內心話語,潤飾後話術,潤飾後內心話語,無奈感 (1–10),被欺壓感 (1–10),羞辱感 (1–10),性別歧視感 (1–10),侮辱性 (1–10),恐懼焦慮 (1–10),壓迫性敘述 (1–10),情緒爆點值 (1–10),委屈沉默 (1–10),語氣強度 (1–10),NLP 總分 (1–100),濃縮金句,適合報導的爆點標題
2025-05-16T14:47:01,主管明示暗示責任額100%要達到 做不到就自己想辦法 檔檔破發之下沒有客戶要買 自掏腰包自己全部買了160萬 還被主管嘲諷：這樣的環境不適合你，你可以盡早離職,我自掏腰包全買100%，讓主管櫃管在總公司得到表揚，（主管還有另外的績效獎金） 還要被主管貶到豬狗不如 主管得了便宜還賣乖 左右為難是叫我去死嗎😭,主管明示暗示：「責任額100%必須達到，做不到就自己想辦法！」在檔檔IPO破發、客戶無意願購買的窘境下，員工自掏腰包160萬全數買下，竟還遭主管嘲諷：「這樣的環境不適合你，你可以盡早離職了！」,我拿出160萬的血汗錢，讓你風光在總公司得到表揚、領走額外的績效獎金，你回過頭卻把我貶得豬狗不如！得了便宜還賣乖，你這是要逼我去死嗎！,10,10,10,1,9,10,10,10,10,10,94,員工自購160萬助主管達標，反遭嘲諷「不適合就離職」。,我買160萬讓你表揚，你卻罵我豬狗不如？主管得了便宜還賣乖！去死吧！
2025-05-16T08:52:49,「妳裙子穿得比別人短，責任額跟其他男生一樣不覺得愧疚嗎」「你是女生要會利用自己優勢」「女生怎麼可能賣不出去是妳要不要而已你知道方法的」,去死吧,主管涉及性騷擾與性別歧視言論：「妳裙子穿得比別人短，責任額跟其他男生一樣，不覺得愧疚嗎？」「妳是女生，要懂得利用自己的優勢！」「女生怎麼可能賣不出去？是妳要不要而已，方法妳是知道的！」,去死吧！你這個無恥的爛人！講出這種話還算是人嗎！,7,9,10,10,10,9,9,10,9,10,93,主管性騷擾：「裙子短不愧疚？女生要利用優勢，妳懂方法的」。,職場性騷擾！主管竟對女員工說：裙子穿短點，利用女性優勢啊！方法妳懂的！
2025-05-16T23:05:28,定時定量的恐嚇強制交出業績 （ 壽險／基金） 證券 同事 都被迫接受 做不到的被要求信貸 沒完成責任額被主管說是‘’ 打混‘’ 說‘’銷售是業務的天職 ‘’ 金融犯罪不是只有詐騙行為 主管的恐嚇強制也是屬於一種金融犯罪 我現在終於懂了 在這家劵商做了24年營業員 默默承受了這麼多不該承受的壓力 為自己感到悲哀 以為工作就是要忍辱負重....... 就是為了生活要聽主管安排 今日的金融業證券公司是個‘’犯罪淫場‘’ 我看不到對營業員的尊重 只有疲勞轟炸式的詢問 什麼時候可以完成責任額？ 什麼時候可以交出業績？ 把辛苦賺來的錢 再被迫買單責任額虧損掉 看似光鮮亮麗的證券營業員 好像賺很多 實則虧不少 我們有苦難言...........,定時定量的恐嚇強制交出業績 （ 壽險／基金） 證券 同事 都被迫接受 做不到的被要求信貸 沒完成責任額被主管說是 打混 說銷售是業務的天職 金融犯罪不是只有詐騙行為 主管的恐嚇強制都是屬於一種金融犯罪 我現在終於懂了 在這家劵商做了24年營業員 默默承受了這麼多不該承受的壓力 為自己感到悲哀 以為工作就是要忍辱負重....... 就是為了生活要聽主管安排 今日的金融業證券公司是個‘’犯罪淫場‘’ 我看不到對營業員的尊重 只有疲勞轟炸式的詢問 什麼時候可以完成責任額？ 什麼時候可以交出業績？ 把辛苦賺來的錢 再被迫買單責任額虧損掉 看似光鮮亮麗的證券營業員 好像賺很多 實則虧不少 我們有苦難言...........,主管以「定時定量恐嚇」強迫員工交出壽險、基金業績，同事皆被迫接受；做不到就被要求去信貸，未完成責任額則被辱罵為「打混」，並被灌輸「銷售是業務的天職」。這種恐嚇與強制，已構成金融犯罪！今日的金融業證券公司，根本是個「犯罪淫場」！,24年了，我終於徹底看清！在這家券商，我默默承受了太多不該承受的壓力，為自己感到悲哀。過去總以為工作就是要忍辱負重，為了生活必須聽從主管的無理安排。我看不到對營業員絲毫的尊重，只有永無止境的疲勞轟炸式追問：「什麼時候可以完成責任額？什麼時候可以交出業績？」我們辛苦賺來的血汗錢，一再被迫投入那些注定虧損的責任額商品。外表看似光鮮亮麗的證券營業員，實則個個虧損不少，我們真的有苦難言！,10,10,9,1,9,10,10,10,10,10,93,主管恐嚇強迫交業績、要求信貸，稱未達標為「打混」，公司如「犯罪淫場」。,24年老鳥血淚控訴：公司是「犯罪淫場」！主管恐嚇逼信貸，榨乾員工！
2025-05-16T00:24:07,某投信投顧主管的職場言語及精神霸凌：1.業務沒有報單就是沒有價值 2.公司產品即使是垃圾也能是黃金，不然公司請你來幹嘛？ 3. 工作是外勤拜訪，業績不好，主管心情不好就臨時要求趕回辦公室開會，還要求開視訊確認所處位置 4.時不時口頭威脅要對業務啟動pip計劃 5.主管以業績不好、藉故查勤當理由，動不動開口必要時以絕對離職辦理  6.臨時要求產品演練  7.威脅要以公司內規訂定業務守則規範，以規定訪客次數及辦理說明會次數  8.外部分行或分公司的早夕會上課所產生的交通時間都在非上班時間內，公司從未給付過加班費  9.要求參加晚上的銀行或券商餐會活動，也從未給付過加班費  10.莫須有栽贓及怪罪業務，縮減年終獎金或季獎金。,1.照勞基法規定還給員工有制度有尊嚴的工作制度，加班費正常給付，工作時數合理化。2.主管勿以言語威脅離職、及言語暴凌  3. 公司調整距離超過原住址超過30公里，應該提供勞基法相關勞工保障，提供配套措施。,投信顧主管遭控十大精神霸凌：「沒報單就沒價值！」「垃圾也要賣成黃金，不然要你幹嘛？」「業績差就PIP威脅、逼離職！」「隨時視訊查勤、臨時突襲演練！」「濫用內規限制拜訪、拒付加班費、莫須有栽贓扣獎金！」,請依勞基法還我們有尊嚴、有制度的工作環境！加班費應正常給付，工時必須合理化！主管立刻停止言語威脅與精神霸凌！公司若調整工作地點超過30公里，應依法提供勞工保障及配套措施！,9,10,10,1,9,10,10,10,9,10,92,投信顧主管遭控十大精神虐待：「沒單就沒價值！垃圾也要賣成黃金！」威脅PIP逼離職！,惡主管十大酷刑！精神虐待：「垃圾也要賣成黃金！」威脅PIP逼離職！
2025-05-15T14:58:50,公司就是被你們拖累的/ 公司不養冗員/ 資源分配本來就是不公平但你們就是要做出同樣的業績 /業務員是責任制，超時沒有加班費，有本事做出成績不然下午晚上假日也要去訪客啊/假日節日還要收到主管訊息KPI施壓，根本沒有喘息的空間/每天早上下午都在碎念講大道理情緒勒索，做不到抽資源換別人經營，你知道你很危危險嘛，ipo沒達標績效考核會很不好/客人股票下單跟你們業務員沒有關係，只有財富管理才是你們的價值/沒數字就說你很危險喔 會被約談喔 有可能會輔導 被資遣喔 之前最後一名的人現在卻莫名拿到資源變成前幾名 這有公平嘛？,拜託 我們不是24小時工作機器人誒 無時無刻都在情緒勒索 早到晚 包含假日 還要收到訊息檢討 追蹤 請問你要付我加班費嘛 特休還要看你臉色 kpi沒達標還要被你酸 你自己也說資源分配本來就是不公平 那憑什麼要求我們做到相同的數字KPI 起跑點就不一樣了不是嗎 數字為王其他為屎嘛 說得一頭好道理 但你們真的有把業務員當人看嘛 還是無法創造數字的就滾 說了這麼多也沒實際方案 只會Call客 你跟客人交情不好 客人不願意幫你 有時候還真的覺得這些客人真的很悲哀誒 金融業有些主管 高官根本就是沒把員工當成家人只是當成免洗筷沒用就丟 真的氣死人 ,主管連環炮轟：「公司被你們拖垮！不養冗員！資源不公也要做出同樣業績！責任制沒加班費，假日也去跑客戶！KPI隨時壓頂，沒得喘息！做不到就抽資源、換人經營、績效差、被資遣！股票下單不重要，財管才是價值！」,拜託，我們不是24小時運轉的機器人！從早到晚被情緒勒索，連假日都不得安寧，訊息轟炸、檢討追蹤！加班費呢？特休還要看你臉色，KPI沒到就被酸言酸語！你都說資源分配不公了，憑什麼要求我們在不同起跑線上達到相同目標？數字為王，我們就是屎嗎？你們到底有沒有把我們當人看，還是只是用完即丟的免洗筷！氣死人了！,10,10,9,1,8,10,10,10,10,10,92,主管連環炮轟：冗員、拖累公司、抽資源、資遣威脅。,「你們是拖油瓶、冗員！」主管全天候情勒轟炸，員工怒：我們不是免洗筷！
2025-05-16T16:50:36,找不到客戶就自己買一買，反正xx天後就可以出場了,公司給的投資專業培訓根本不夠，剛入行不到三個月就被理專同事當肥羊宰，糊里糊塗簽下信託總約，詢問用途時負責的理專同事眼神之鄙夷、答覆之簡短不耐，讓我忍不住心想「你對不了解信託的客戶也是這種嘴臉嗎？」試用期還沒過就要揹10萬元IPO責任額，當時我甚至連IPO是什麼都還完全不懂。各種被吃豆腐，明明職等不夠擔任的職務，硬被叫去做；內控不夠嚴謹，有一次分行間調度金幣實物，主管都先把調入的金幣拿給客戶了才叫經辦來點收，是點收個屁？然後月月IPO，做不到就直接在晨會一一點名公審，role play從來不事先告知練習哪一項產品，想到什麼就做什麼是要play個屁？然後因此表現不好就再鞭一頓，不教而殺。有些主管更明目張膽叫行員自掏腰包購買買足責任額，每次都是5-10萬不等，每次都只會說無關痛癢的「等到有賺再出場」。金融業盲目追求手收已經很久，我就想靠北我是銀行員，不是專賣保險的業務員，更不會因為收入還算可以，就隨時能吐出五萬、十萬。這個體制真的生病了，根本很少人真正為客戶的需求和權益著想，哪檔手收高就推那檔，還有一絲良心的從業人員遲早會被逼出一身病。,主管輕描淡寫指示：「找不到客戶？就自己買一買啊！反正幾天之後就可以出場了。」,新人血淚控訴：公司投資專業培訓嚴重不足，入行不到三個月就被資深理專當肥羊宰割，被迫簽下不明不白的信託合約，詢問時還遭鄙視！試用期未過就要背負10萬元IPO責任額，當時連IPO是什麼都搞不懂！職場上各種被吃豆腐，職等不夠卻硬被指派任務；內控渙散，金幣調度竟先給客戶再點收，簡直荒謬！月月IPO轟炸，做不到就在晨會被點名公審，隨機抽考產品演練，表現不好再遭鞭笞，完全是不教而殺！更有主管明目張膽逼迫行員自掏腰包5至10萬購買以補足責任額，只會輕飄飄說「有賺再出場」。金融業盲目追求手續費已久，我是銀行員，不是保險業務員，更不是隨時能吐出幾十萬的提款機！這體制病入膏肓，真正為客戶著想的良心員工，遲早被逼出一身病！,10,10,9,1,8,10,10,10,10,9,91,主管：「找不到客戶就自己買，反正之後可以出場。」,「找不到客戶自己買！」新人入行即被宰，月月IPO公審，體制病入膏肓！
2025-05-15T12:09:27,主管說 如果跟客戶有一腿有業績 不如就為了業績犧牲自己,我是來自己學習投資理財 也希望學到後幫助客戶有健全的理財觀點 不是來當詐騙集團的,主管竟無恥暗示：「如果和客戶『有一腿』能換到業績，那不如就為了業績犧牲一下自己吧。」,我是來學習專業的投資理財知識，希望能幫助客戶建立正確的理財觀念，不是來出賣自己身體、淪為詐騙集團的幫兇！,7,9,10,10,10,8,9,10,8,10,91,主管暗示「跟客戶有一腿，不如犧牲自己」換業績。,職場潛規則？主管竟暗示女員工「犧牲自己」換業績！
2025-05-15T12:05:17,上一檔IPO沒做到，這一檔開募時，主管走到我身邊說：你上次欠我五十萬這次要補喔,"我就想問我清清白白乾乾淨淨的進公司上班，怎麼就負債了？我領$30,000的薪水，怎麼我不賣IPO就「欠你50萬」了？？這是證券還是黑道，每個月都來跟我收保護費，沒有管產品好不好會不會賺錢耶，你要我吞我就得吞下",「你上一檔IPO欠我五十萬，這一檔開募了，記得要補回來喔！」主管竟公然索討。,我月薪才區區三萬，清清白白來上班，怎麼就莫名其妙「欠主管五十萬」了？這到底是證券公司還是黑道堂口？每個月都來收保護費，不管產品多爛、會不會賺錢，逼我就得吞！,9,10,9,1,9,10,10,10,9,10,91,「你上次欠我五十萬，這次要補！」主管強索，員工莫名「負債」。,月薪三萬竟「欠主管五十萬」！金融業還是黑道討保護費？
2025-05-17T10:53:05,4/28-4/30為永昌IPO募集，4/30發放績效獎金，理專30日客戶表示不願購買，經理要求理專自行購買，理專不願意經理大聲質問,月月基金、保險、IPO募集，主管分配下來，某些同仁壓力更大（主管表示某些職務資源多應負責更多扣打），每個人上班都是為了賺錢，曾幾何時參與購買只是為了讓主管閉嘴、不讓主管找麻煩，員工都要買，總行單位不用買、經理自己也不用買（除了某些經理是會自己帶頭買），行員一年薪水近百到破百萬，應該有30-40%都需要拿來自己做業績（主管：我們都是這樣，薪資高的代價就是要這樣，教你們資金入場再出來，跟著做，你的資金通常不會賠，賠也不會賠很多）。十幾到幾十萬投入，沒有百萬身價真的不敢踏進銀行業。層層剝削，總行各個部門下達各種不可能完成的任務，沒達到扣息扣息再扣息。你敢信今年的理財業績目標是去年的1.8倍嗎？每個月開會都說這次使命必達，試問哪個月可以不用達成？,永昌IPO募集截止日，客戶明確表示不願購買，經理竟要求理專自行掏錢購買，理專不從，經理當場大聲質問！,月月都有基金、保險、IPO的募集壓力，主管分配下來的責任額，讓某些擁有較多資源的同仁壓力更是巨大！每個人上班都是為了賺錢養家，曾幾何時，掏錢購買金融商品竟只是為了讓主管閉嘴、避免麻煩？基層員工被迫買單，總行單位卻不用買，連經理自己大多也不用買（只有少數經理會帶頭參與）！行員年薪表面近百萬到破百萬，實際上卻有30-40%的薪水需要拿來自己「做」業績！主管還大言不慚地說：「我們都是這樣過來的，高薪的代價就是要這樣！我教你們資金如何入場再出場，跟著做，你的資金通常不會賠，就算賠也不會賠很多。」動輒數十萬到數十萬的投入，沒有百萬身價真的不敢輕易踏進銀行業！這根本是層層剝削！總行各部門下達各種不可能完成的任務，一旦沒達到，就是扣獎金、扣福利，再扣獎金！你敢相信今年的理財業績目標竟然是去年的1.8倍嗎？每個月開會都在強調「這次務必使命必達」，試問，哪一個月可以不用「使命必達」？,9,10,9,1,8,10,10,10,9,10,91,客戶拒買IPO，經理竟大聲質問並強迫理專自購。,「客戶不買你買！」經理怒斥理專，揭銀行員工被迫拿四成薪水做業績！
2025-05-15T10:20:44,"最常聽到的是：「這責任額不高啦，大家都做得到了，就差你了」、「你這樣年終可能不保喔」，還有一句幾乎每次IPO都會聽到的：「錢自己準備好，必要的話就信貸一下，不然這季怎麼過？」

曾經有個主管在晨會上直接講：「某某上次達不到就是因為不夠努力，人家XX就自己買了 300 萬，你們連一半都不到，是怎樣？」講得像不達標就是不努力，問題是根本不是人人家裡都有錢可以這樣扛。還有一次，分公司經理說：「你們不想做就講，我可以叫新人來頂，現在一堆人搶這個位置」，這種「不做就滾」的話術，其實每一場IPO開賣前都在我們心裡埋下一顆炸彈。

我也聽過很誇張的，某券商有個理專被叫去經理辦公室，主管淡淡地說：「你這次沒達到，我把你上次報的客戶名單重新分給別人處理囉，這樣你比較輕鬆。」實際上就是直接把客戶剝奪給別人，沒達業績就會失去過去耕耘的成果。當場那個同事沒哭出來，但整整一個月都低頭沉默，氣氛超壓抑。","說真的，我已經很久沒有覺得自己是個「正常工作的人」了。在這個產業，我們的價值不是被當作專業顧問看待，而是像被逼迫販賣業績的工具。每次IPO來的時候，大家都要先確認「自己準備了多少錢」，不是幫客戶選好產品，而是先確保自己可以補多少洞。

我想對公司說：你們看到的是回單跟總銷數字，但你們有看到我們每天為了那些數字，壓力大到吃不下睡不著的樣子嗎？你知道我們裡面有人為了責任額去貸款、去質押保單，甚至把自己的儲蓄清空嗎？你知道有人被當眾罵「丟公司的人」之後就請假三天，沒講一句話，只說「想靜一靜」嗎？

主管們說：「這就是行規」，但你們從來不是真的在現場call客、跑拜訪、處理客戶的抱怨。你們拿著回單笑，我們在後面哭。你們說這是目標管理，我們看到的是恐嚇式PUA。你們在KPI報告會上說「我們分行很拼」，但你們有沒有想過，我們拼到最後只剩一張醫生診斷證明？

我不怕說這些，因為我相信如果大家都沉默，我們會一直被這制度踩在腳下。我們不是不願意努力，我們只是希望這個行業能把人當人看，而不是一個可以隨時補上責任額的數字產出機器。

所以，如果可以匿名說一句話，我只想說：

「我想好好工作，不想靠信貸生存；我想被當作人看，而不是一個被逼買單的業績工具。」

如果你們還有一點點良知，請你們停止用責任額制度剝削人，停止用假象的獎金制度操控人。讓我們重新找回尊嚴與價值，不要讓這份工作變成讓人得焦慮症的根源。",主管連環施壓：「責任額不高，就差你！年終不保！錢自己準備好，不夠就信貸！某某不夠努力，人家買300萬！不想做就滾，新人搶著頂！沒達到？客戶我搶走，讓你『輕鬆』！」,我們不是業績工具，更不是信貸機器！每天被數字追殺到失眠，有人為此掏空積蓄、背上貸款，甚至被當眾羞辱到三天不敢說話！你們口中的「行規」是我們的煉獄，你們的「目標管理」是我們的PUA！你們笑著數鈔票，我們哭著吞安眠藥，最後只剩一張張精神科診斷書！請把我們當人看！,10,10,9,1,8,10,10,10,9,10,91,「我想好好工作，不想靠信貸生存；我想被當作人看，而不是一個被逼買單的業績工具。」,金融業驚爆「PUA式管理」：員工被迫信貸買單，泣訴「只想被當人看，別讓我們活在煉獄！」
2025-05-15T13:36:34,主管說：我不相信你IPO連10萬都騙不到 拿著你營業員的名片會騙不到10嗎？ 如果騙不到，表示這個行業不適合你 請你可以考慮離開,我從業30幾年，第一次感覺自己是詐騙集團 什麼時候我的業績需要去騙客戶才能完成😭 每次IPO上市 都比我自己買壓力還要大 怕對不起從頭到尾這麼挺我的客戶,主管冷嗆：「我不相信你IPO連10萬塊都騙不到！拿著你的名片去騙啊！如果連這樣都騙不到，代表這行不適合你，你可以滾了！」,我從業三十多年，第一次感覺自己像個詐騙集團成員！我的專業和業績，什麼時候淪落到需要用「騙」的才能完成？每次IPO上市，壓力都大到比我自己跳下去買還難受，深怕對不起那些一路相挺的客戶！,8,9,10,1,9,10,10,10,9,10,90,主管逼員工「拿名片去騙」，騙不到就滾。,「連10萬都騙不到就滾！」主管逼老鳥成詐騙集團，從業30年心寒！
2025-05-15T12:25:42,雞雞證券南部某主管：這就是公司任務使命必達沒有藉口客戶不買就暗示明示自己買單，表示自己也是累積賠不少，誰不是這樣做,出國你們去，高額獎金績效獎金你們領，還不時帶性暗示的神情與言語表示營業員可以靠外型去吸引客戶，我沒有對公司很不滿但我對現任主管很厭惡,南部某證券主管宣稱：「公司任務，使命必達，沒有藉口！客戶不買？那就暗示明示讓他們自己買單！我自已也賠了不少，誰不是這樣過來的？」更以性暗示言詞，要女營業員用外貌招攬客戶。,出國享樂、高額獎金都歸你們這些主管，我們基層卻要忍受這種逼迫自購、甚至帶有性暗示的言語和眼神！我對公司或許沒有太多不滿，但我極度厭惡現在這位主管！,8,9,9,9,8,9,10,10,8,10,90,南部某證券主管逼員工自購，更帶性暗示：「靠外型吸引客戶」。,「客戶不買自己吞！」南部主管逼員工買單，更帶性暗示：靠外型吸客！
2025-05-15T15:03:29,"投資型保單很棒的被動收入，有7-8%，可以用房子借款出來買

下午留下來打20幾通電話
還會去聽錄音，看你有沒有真的打電話出去銷售，這個手段好幾年前就有

IPO ETF 可以很好拿獎金，為什麼還掛蛋

（其實很不想說，還有很多很多被打壓，被情勒，怕寫這些，萬一曝光，就沒了工作）","從業20年超過，以前的年代是賣基金，但近幾年的ipo真的太誇張了，責任額幾百萬，甚至要求到千萬也有，然後破發，客人都是捧場買的，虧了幾次之後，捧場的人越來越少
去年下旬下半年幾乎一個月1-2檔
有時根本還來不及教育訓練，就要報額度，最好第一天都能達到100%
每次都一定要達成全公司的額度
這到底是誰規定的，這麼爛的東西為什麼要強迫我們去銷售
根本不需要什麼專業，我們只是銷售的機器
無論是股票債券或主動式的ETF賣就對了
從兩年前身心壓力之下也去看了醫生
每天需要吃藥睡覺,恐慌焦慮的情緒時常伴隨
我知道情緒生病了
證券業也生病了，但是沒有人會去檢討
只有營業員不斷被檢討，別人可以為什麼你不行
同事抱怨歸抱怨，額度一下來還是做到滿甚至超過，我只能說客人真好騙
因為大家都想要繼續工作，所以很拼
但這樣子會讓公司得寸進尺
無限的發行
最後終究會是一場災難
很高興終於有同業肯出來發聲
終於覺得有靠山的感覺",主管話術利誘：「投資型保單報酬高達7-8%，拿房子去抵押貸款買啊！」；監控威逼：「下午留下打20通電話，我會聽錄音檢查有沒有確實銷售！」；業績施壓：「IPO ETF獎金這麼好拿，你怎麼還掛蛋？」(員工憂曝光丟飯碗),我從業超過20年，以前賣基金，但近幾年的IPO真的太誇張！責任額從幾百萬飆到千萬，結果檔檔破發，客人捧場虧錢後越來越少。去年下半年幾乎每月1-2檔，沒時間教育訓練就要報額度，逼第一天達標！誰規定這麼爛的東西要強迫銷售？我們根本不需要專業，只是銷售機器！股票、債券、ETF，닥치는 대로 팔아라！兩年前開始，我因巨大身心壓力去看醫生，每天靠藥物入眠，恐慌焦慮如影隨形。我知道，我不只情緒生病，整個證券業都病了！卻沒人檢討制度，只會檢討營業員：「別人可以，為什麼你不行？」同事們邊罵邊做，甚至超額完成，我只能說客人真好騙。大家為了飯碗拼命，公司卻得寸進尺，無限發行，這終將是場災難！很高興終於有人發聲，感覺不再孤單。,10,10,8,1,7,10,10,10,10,10,90,主管鼓吹房貸買保單、監聽電話，施壓IPO業績。員工憂曝光丟飯碗。,「證券業病了！」20年老鳥泣訴：月月IPO逼死人，淪銷售機器靠藥入眠！
